"filename", "language", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\vinicius_ruas\ecom\front-ecom\assets\css\style.css", "CSS", 0, 0, 778, 36, 145, 959
"c:\Users\vinicius_ruas\ecom\front-ecom\assets\js\infoAdmin\admin.js", "JavaScript", 0, 7, 0, 0, 1, 8
"c:\Users\vinicius_ruas\ecom\front-ecom\assets\js\infoAdmin\crudCatg.js", "JavaScript", 0, 176, 0, 0, 19, 195
"c:\Users\vinicius_ruas\ecom\front-ecom\assets\js\infoAdmin\crudForn.js", "JavaScript", 0, 191, 0, 0, 16, 207
"c:\Users\vinicius_ruas\ecom\front-ecom\assets\js\infoAdmin\crudProd.js", "JavaScript", 0, 200, 0, 0, 13, 213
"c:\Users\vinicius_ruas\ecom\front-ecom\assets\js\infoAdmin\crudProdForn.js", "JavaScript", 0, 172, 0, 2, 14, 188
"c:\Users\vinicius_ruas\ecom\front-ecom\assets\js\infoHome\cadUser.js", "JavaScript", 0, 43, 0, 0, 7, 50
"c:\Users\vinicius_ruas\ecom\front-ecom\assets\js\infoHome\login.js", "JavaScript", 0, 53, 0, 3, 8, 64
"c:\Users\vinicius_ruas\ecom\front-ecom\assets\js\infoLoja\carrinho.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\vinicius_ruas\ecom\front-ecom\assets\js\infoLoja\infoComp\compra.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\vinicius_ruas\ecom\front-ecom\assets\js\infoLoja\infoComp\endereco.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\vinicius_ruas\ecom\front-ecom\assets\js\infoLoja\infoComp\pagamento.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\vinicius_ruas\ecom\front-ecom\assets\js\infoLoja\menuProd.js", "JavaScript", 0, 47, 0, 0, 5, 52
"c:\Users\vinicius_ruas\ecom\front-ecom\assets\js\logout.js", "JavaScript", 0, 6, 0, 0, 2, 8
"c:\Users\vinicius_ruas\ecom\front-ecom\index.html", "HTML", 38, 0, 0, 3, 5, 46
"c:\Users\vinicius_ruas\ecom\front-ecom\public\cadUser.html", "HTML", 65, 0, 0, 3, 5, 73
"c:\Users\vinicius_ruas\ecom\front-ecom\public\carrinho.html", "HTML", 39, 0, 0, 5, 4, 48
"c:\Users\vinicius_ruas\ecom\front-ecom\public\categoria.html", "HTML", 88, 0, 0, 3, 21, 112
"c:\Users\vinicius_ruas\ecom\front-ecom\public\compra.html", "HTML", 36, 0, 0, 3, 6, 45
"c:\Users\vinicius_ruas\ecom\front-ecom\public\endereco.html", "HTML", 0, 0, 0, 0, 1, 1
"c:\Users\vinicius_ruas\ecom\front-ecom\public\estoque.html", "HTML", 69, 0, 0, 3, 19, 91
"c:\Users\vinicius_ruas\ecom\front-ecom\public\fornecedor.html", "HTML", 99, 0, 0, 3, 28, 130
"c:\Users\vinicius_ruas\ecom\front-ecom\public\login.html", "HTML", 47, 0, 0, 3, 6, 56
"c:\Users\vinicius_ruas\ecom\front-ecom\public\menuAdm.html", "HTML", 38, 0, 0, 3, 5, 46
"c:\Users\vinicius_ruas\ecom\front-ecom\public\menuProd.html", "HTML", 36, 0, 0, 3, 6, 45
"c:\Users\vinicius_ruas\ecom\front-ecom\public\pagamento.html", "HTML", 0, 0, 0, 0, 1, 1
"c:\Users\vinicius_ruas\ecom\front-ecom\public\produto.html", "HTML", 104, 0, 0, 3, 29, 136
"c:\Users\vinicius_ruas\ecom\front-ecom\public\produtoFornecedor.html", "HTML", 83, 0, 0, 3, 18, 104
"Total", "-", 742, 895, 778, 79, 388, 2882
